date,cumulative_cases,cumulative_deaths,active_cases
2020-03-12,1,0,1.0
2020-03-13,1,0,1.0
2020-03-14,1,0,1.0
2020-03-15,1,0,1.0
2020-03-16,1,0,1.0
2020-03-17,1,0,1.0
2020-03-18,1,0,1.0
2020-03-19,2,0,2.0
2020-03-20,3,0,3.0
2020-03-21,3,0,3.0
2020-03-22,3,0,3.0
2020-03-23,3,0,3.0
2020-03-24,3,0,3.0
2020-03-25,3,0,3.0
2020-03-26,4,0,3.0
2020-03-27,4,0,3.0
2020-03-28,5,0,4.0
2020-03-29,5,0,4.0
2020-03-30,5,0,4.0
2020-03-31,5,0,4.0
2020-04-01,5,0,4.0
2020-04-02,8,0,6.0
2020-04-03,9,0,6.0
2020-04-04,10,0,7.0
2020-04-05,10,0,7.0
2020-04-06,11,0,8.0
2020-04-07,13,0,10.0
2020-04-08,14,0,11.0
2020-04-09,14,0,10.0
2020-04-10,16,0,12.0
2020-04-11,16,0,11.0
2020-04-12,16,0,11.0
2020-04-13,22,0,17.0
2020-04-14,23,0,18.0
2020-04-15,25,0,20.0
2020-04-16,26,0,18.0
2020-04-17,27,0,18.0
2020-04-18,28,0,18.0
2020-04-19,28,0,18.0
2020-04-20,28,0,17.0
2020-04-21,28,0,15.0
2020-04-22,28,1,14.0
2020-04-23,33,1,19.0
2020-04-24,33,1,17.0
2020-04-25,34,1,18.0
2020-04-26,37,1,21.0
2020-04-27,39,1,17.0
2020-04-28,44,1,21.0
2020-04-29,44,1,19.0
2020-04-30,45,1,19.0
2020-05-01,47,1,20.0
2020-05-02,48,1,20.0
2020-05-03,48,1,20.0
2020-05-04,48,1,20.0
2020-05-05,51,1,23.0
2020-05-06,51,1,23.0
2020-05-07,51,1,18.0
2020-05-08,51,1,18.0
2020-05-09,51,1,17.0
2020-05-10,55,2,18.0
2020-05-11,55,2,16.0
2020-05-12,56,2,12.0
2020-05-13,58,2,14.0
2020-05-14,58,2,13.0
2020-05-15,58,2,11.0
2020-05-16,58,2,10.0
2020-05-17,58,2,10.0
2020-05-18,71,2,23.0
2020-05-19,75,3,24.0
2020-05-20,77,3,26.0
2020-05-21,81,3,30.0
2020-05-22,83,4,32.0
